Name,Value,Color Name
1,#191970,Midnight Blue
2,#89CFF0,Baby Blue
3,#0096FF,Bright Blue
4,#0047AB,Cobalt Blue
5,#6495ED,Cornflower Blue
6,#40B5AD,Verdigris
7,#00A36C,Jade
8,#9FE2BF,Seafoam Green 
9,#008080,Teal
10,#8A9A5B,Sage Green
11,#808000,Olive Green
12,#C9CC3F,Pear
13,#98FB98,Mint Green
14,#008000,Green
15,#0BDA51,Malachite
16,#40826D,Viridian
17,#93C572,Pistachio
18,#454B1B,Army Green
19,#088F8F,Blue Green
20,#097969,Cadmium Green
21,#50C878,Emerald Green 
22,#4F7942,Fern Green
23,#800080,Purple
24,#5D3FD3,Iris
25,#CF9FFF,Light Violet
26,#702963,Byzantium
27,#CCCCFF,Periwinkle
28,#953553,Red Purple
29,#C21E56,Rose Red
30,#E0115F,Ruby Red
31,#FF2400,Scarlet
32,#D2042D,Cherry
33,#811331,Claret
34,#9A2A2A,Garnet
35,#C04000,Mahogany
36,#800000,Maroon
37,#770737,Mulberry
38,#A52A2A,Red Brown
39,#DC143C,Crimson
40,#DA70D6,Orchid
41,#E30B5C,Raspberry
42,#E37383,Watermelon Pink
43,#800020,Burgundy
44,#D27D2D,Cinnamon
45,#9F2B68,Amaranth
46,#FF7F50,Coral
47,#F89880,Pink Orange
48,#FF69B4,Hot Pink
49,#FFA500,Orange
50,#FFAA33,Yellow Orange
51,#FFC000,Golden Yellow
52,#CC5500,Burnt Orange
53,#FFAC1C,Bright Orange
54,#E3963E,Butterscotch
55,#FF7518,Pumpkin Orange
56,#E35335,Poppy
57,#B87333,Copper
58,#CD7F32,Bronze
59,#E3735E,Terra Cotta
60,#8B8000,Dark Yellow
61,#E49B0F,Gamboge
62,#FFD700,Gold 
63,#DAA520,Goldenrod
64,#FFDB58,Mustard Yellow
65,#F4C430,Saffron